User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
16554569,male,37,179,77,7,81,39.5,17
18903739,male,23,195,87,26,110,40.5,167
11938260,male,33,181,77,12,88,40.1,40
14116395,female,66,156,54,9,77,39.5,34
13815395,female,32,144,49,5,90,39.0,23
14304052,female,24,175,66,17,93,40.5,78
16769564,female,59,164,63,20,109,40.5,139
12785594,female,21,170,67,17,95,40.0,80
19021891,female,23,189,79,5,94,38.9,22
17074274,female,26,159,53,19,92,40.5,89
15802586,female,60,183,82,10,92,39.2,49
13155595,female,56,160,63,4,84,38.7,17
19922195,male,50,202,102,2,81,38.3,7
16412866,female,49,173,67,10,85,39.5,42
17555683,male,63,177,80,3,89,38.7,15
11341181,male,24,166,71,2,78,38.2,3
13316334,female,41,173,69,10,91,39.7,46
11009067,female,66,158,53,19,103,40.6,125
18218682,female,24,169,68,21,103,40.3,118
17973811,female,31,164,57,22,109,40.7,144
10054672,male,30,180,84,16,98,40.1,78
18224414,male,44,185,87,10,89,39.7,43
19304909,female,78,174,73,24,95,40.7,136
10664035,male,26,176,81,12,90,39.7,41
11198971,male,36,198,101,8,89,39.8,33
13698618,male,31,180,79,25,102,40.8,135
18606176,female,55,158,60,4,94,38.4,21
13910842,male,37,195,97,18,97,40.4,96
16963484,female,27,166,58,15,101,40.1,84
12865640,male,28,171,76,15,94,40.5,60
17437832,male,36,173,75,16,94,40.4,70
14980446,male,21,182,87,22,107,40.6,129
15222950,male,27,194,90,7,89,39.5,24
15738811,male,71,190,90,25,109,40.9,216
11148285,female,27,161,55,13,93,40.2,62
12658315,male,51,194,96,12,99,39.9,75
18557816,male,32,182,87,20,98,40.7,101
16351632,female,47,176,75,6,83,39.8,23
10831861,female,37,144,47,17,96,40.0,92
13023243,female,79,160,60,28,108,40.9,203
10888188,male,61,183,86,1,81,38.3,4
13859275,female,46,151,51,28,108,40.9,190
11319816,male,55,183,85,20,94,40.3,110
15538614,male,50,169,74,30,113,40.8,236
11549984,male,26,191,96,8,92,39.7,32
19708915,male,53,188,88,16,96,40.5,92
13113477,female,79,142,50,14,86,40.1,70
18840383,female,27,164,59,4,86,39.1,16
13563201,female,54,162,63,13,101,40.0,78
11981652,female,60,155,54,16,99,40.5,96
10444346,male,78,187,88,22,98,40.8,160
11560169,female,21,167,63,22,102,40.8,122
10044198,male,69,185,85,30,113,40.7,271
15857770,male,79,176,83,2,89,38.3,12
17470650,male,28,175,74,23,107,40.7,136
10836299,male,76,195,93,23,96,40.5,161
17307209,female,22,177,70,22,109,40.6,136
17774025,male,30,177,80,9,92,39.4,35
12800029,male,26,187,89,21,106,40.5,126
14876896,male,25,198,96,5,85,39.1,15
17901625,female,30,164,66,1,67,38.1,2
16943426,female,47,175,69,29,117,41.1,218
19117012,female,66,171,62,3,80,38.6,12
10697428,male,71,186,92,7,85,39.5,35
19485845,male,25,177,78,26,108,40.9,156
10566369,male,20,187,86,23,100,40.3,109
10628326,male,78,191,91,24,98,40.6,176
12205632,male,44,195,92,6,83,39.4,21
14221880,male,51,174,80,18,82,40.4,61
15124459,female,22,159,55,4,86,38.8,16
13045083,male,52,190,93,26,105,40.5,187
19065663,female,47,147,51,24,106,40.3,158
14396318,female,54,141,48,18,103,40.3,116
12267136,female,42,153,56,19,102,40.5,114
11655772,male,56,200,100,9,92,39.9,50
19385382,female,20,176,69,10,84,40.2,35
11436090,female,41,158,54,19,99,40.3,108
19549987,female,21,157,54,16,98,40.4,84
13371749,female,24,180,77,28,113,40.5,184
15976472,female,65,166,70,15,100,39.9,90
11940553,female,43,165,65,16,93,40.4,79
17844092,male,38,178,81,26,110,40.6,182
14437091,female,35,171,70,6,96,39.4,30
13728176,male,20,173,79,2,78,37.9,3
14034778,male,28,183,88,6,78,39.4,11
15644298,male,70,176,85,25,99,40.7,174
11948316,female,22,156,50,28,104,40.8,166
17293850,female,34,157,61,27,106,41.1,168
17001581,male,24,185,91,29,97,40.8,133
15283313,female,70,154,59,10,88,40.0,50
18542385,female,59,175,73,10,86,39.9,44
19067220,male,24,184,79,24,102,40.6,122
18738442,male,42,212,112,12,93,40.0,64
17787316,female,64,170,69,22,100,40.4,132
14289608,female,42,159,57,12,93,39.8,60
13263056,female,20,163,66,1,86,37.8,4
14963675,male,27,213,119,9,87,39.9,34
11815801,female,50,173,73,8,85,39.9,33
17674269,male,37,170,76,7,86,39.3,23
19083719,male,55,167,75,12,90,40.1,56
11796211,male,61,183,85,20,99,40.7,131
14641245,female,48,197,89,18,102,40.3,102
13281957,female,24,176,66,6,85,39.2,22
18678172,male,30,199,99,16,103,40.3,95
10915031,male,27,191,90,18,107,40.6,112
18767328,female,42,163,66,8,87,39.5,34
10041182,female,47,173,67,2,86,38.1,8
18270445,female,76,167,65,26,102,40.9,168
10014651,female,43,156,54,24,108,40.9,160
19781018,female,40,172,66,20,98,40.7,108
14774840,female,71,157,62,21,98,40.5,126
12356798,male,77,186,93,29,102,40.8,230
11963924,female,70,179,80,22,105,40.5,143
17385577,male,45,177,85,7,89,39.5,30
18494667,male,24,195,92,10,93,39.8,40
17840335,male,49,181,87,10,92,39.8,49
10763495,female,47,159,60,27,104,40.8,169
12508360,female,47,158,55,25,108,41.0,169
10290474,male,32,189,94,7,83,39.2,20
10143692,male,33,195,94,12,81,40.3,32
15368214,female,68,173,68,13,91,39.9,67
15712081,male,68,173,77,28,105,40.8,213
11584595,male,65,176,88,30,110,40.4,254
10710082,male,59,190,93,22,93,40.7,126
16216461,female,24,155,60,18,99,40.6,96
16616271,female,30,164,62,2,81,38.1,7
12366575,male,66,193,101,1,83,37.9,5
17497515,male,65,204,103,14,93,40.1,87
18429393,female,37,163,58,9,82,39.7,34
12834296,male,33,186,83,24,116,40.3,185
19284090,female,28,167,66,3,87,38.5,12
14589218,male,46,201,96,25,108,40.3,185
13418066,female,66,155,62,19,99,40.5,114
19159461,female,40,158,55,16,84,40.1,65
17837203,male,24,170,72,9,77,39.7,10
12283845,male,43,171,76,14,95,40.2,68
10324890,male,69,171,80,21,103,40.3,156
15798518,male,73,192,92,2,68,38.2,5
16216574,female,35,183,73,17,97,40.5,87
16303342,female,27,170,66,9,94,39.8,43
13554413,male,62,177,82,21,102,40.7,146
10765096,female,28,169,72,14,87,40.7,55
15740279,male,29,186,93,25,101,40.7,137
10842264,female,22,163,59,16,104,40.1,93
18707226,female,25,155,56,16,95,40.9,79
16422659,female,43,173,67,11,95,39.7,56
10752983,female,33,163,63,22,101,40.7,124
15129059,male,22,186,82,14,89,40.2,43
10351962,male,63,191,93,18,93,40.3,106
16991462,female,21,169,63,11,91,40.0,48
18600632,female,41,164,63,11,87,40.2,47
17869121,female,30,169,68,2,83,38.4,7
17928110,male,26,180,81,7,92,39.5,26
15083640,female,31,145,49,20,101,40.5,116
16428584,male,76,177,84,7,84,39.1,35
14524071,female,34,160,63,29,119,41.3,220
18297784,female,39,166,65,18,99,40.7,99
17329083,male,43,183,88,12,95,40.0,62
16222538,female,77,162,58,4,91,39.0,22
15007113,female,20,159,55,11,95,40.1,54
18148854,male,32,175,77,12,98,39.9,58
11138594,male,21,188,87,24,98,40.9,108
12228055,male,26,199,93,22,104,40.6,127
13028532,female,49,173,66,4,81,38.9,15
11800007,male,30,185,88,30,110,40.9,203
18512048,female,33,150,53,19,106,40.4,120
13963518,male,24,171,76,16,95,40.2,63
16899892,female,40,180,76,4,80,38.7,13
12607588,female,61,181,78,25,98,40.8,140
18432397,male,79,175,80,12,94,40.1,79
10646136,female,72,181,76,29,112,40.8,212
15060211,male,73,186,89,5,85,39.1,25
16053189,male,43,176,82,13,88,40.3,51
18854408,female,24,163,59,11,92,39.9,50
13850050,male,40,170,79,17,103,40.4,102
16911419,female,62,172,75,9,87,39.3,40
14867603,male,45,183,87,17,99,40.0,99
13784553,male,48,190,83,11,99,39.8,65
17701144,male,37,184,86,11,91,39.5,46
18233908,female,23,171,65,27,105,40.4,158
11699004,female,28,162,65,17,96,40.2,85
15655420,female,24,164,56,8,81,39.5,27
11939048,female,53,172,71,8,89,39.7,37
19202715,female,48,170,64,17,99,40.3,96
19488300,male,59,179,81,5,83,39.1,20
14519582,female,63,150,50,7,88,39.4,35
18992142,male,36,176,83,26,101,40.8,145
16735618,female,54,154,58,7,82,39.4,28
14574462,male,57,185,80,7,93,39.4,37
12636674,female,53,167,72,20,96,40.4,107
18440252,female,26,156,53,14,93,40.3,67
12511360,male,75,179,84,3,88,38.7,17
14978910,male,35,186,92,24,99,40.9,130
13747446,female,57,171,65,15,88,40.3,70
